P,Player,Week,Team,Opp,Opp Rank,FDSal,,DK Salary,FD Points,DK Points,DK Multiplier
WR,Nick Westbrook-Ikhine,18,TEN,HOU,23,5100,4100,4.1,15.8,17.8,4.3
WR,Odell Beckham Jr.,21,LAR,SF,18,6300,5100,5.1,15.8,23.3,4.6
WR,Julio Jones,2,TEN,SEA,15,6300,6300,6.3,15.8,21.8,3.5
WR,Calvin Ridley,2,ATL,TB,31,7700,7500,7.5,15.8,19.3,2.6
WR,K.J. Osborn,14,MIN,PIT,23,5500,4100,4.1,15.8,17.3,4.2
WR,Josh Reynolds,15,DET,ARI,21,5100,4300,4.3,15.8,18.8,4.4
WR,Cedrick Wilson,17,DAL,ARI,27,4900,3400,3.4,15.74,18.74,5.5
WR,Deebo Samuel,17,SF,HOU,20,9000,8700,8.7,15.7,17.2,2.0
WR,Malik Turner,16,DAL,WAS,30,4600,3000,3,15.7,17.2,5.7
WR,DeVante Parker,4,MIA,IND,28,5400,5200,5.2,15.7,17.7,3.4
WR,DeVonta Smith,4,PHI,KC,27,5900,5700,5.7,15.7,22.2,3.9
WR,Brandon Aiyuk,9,SF,ARI,18,5500,4100,4.1,15.7,19.7,4.8
WR,Keenan Allen,11,LAC,PIT,19,7100,6900,6.9,15.7,23.2,3.4
WR,CeeDee Lamb,13,DAL,NO,26,7700,6700,6.7,15.7,19.2,2.9
WR,Jamison Crowder,4,NYJ,TEN,31,5500,4600,4.6,15.6,19.1,4.2
WR,Donovan Peoples-Jones,9,CLE,CIN,15,5100,4400,4.4,15.6,16.6,3.8
WR,Brandon Aiyuk,14,SF,CIN,16,6400,5800,5.8,15.6,18.6,3.2
WR,Justin Jefferson,16,MIN,LAR,9,8400,8100,8.1,15.6,22.6,2.8
WR,Chase Claypool,18,PIT,BAL,31,5800,5100,5.1,15.5,18,3.5
WR,Justin Jefferson,2,MIN,ARI,8,7300,7400,7.4,15.5,18.5,2.5
WR,Justin Jefferson,9,MIN,BAL,10,7600,7500,7.5,15.5,17,2.3
WR,Tyreek Hill,11,KC,DAL,23,8500,8200,8.2,15.5,20,2.4
WR,Randall Cobb,12,GB,LAR,10,5300,3700,3.7,15.5,18.5,5.0
WR,Chris Godwin,14,TB,BUF,1,7700,7100,7.1,15.5,23.5,3.3
WR,Amari Cooper,19,DAL,SF,18,7100,5900,5.9,15.4,18.4,3.1
WR,Mecole Hardman,18,KC,DEN,8,5300,3800,3.8,15.3,22.3,5.9
WR,K.J. Osborn,16,MIN,LAR,9,6000,4800,4.8,15.3,17.8,3.7
WR,Cole Beasley,3,BUF,WAS,23,5400,4800,4.8,15.3,20.8,4.3
WR,John Ross,4,NYG,NO,18,4600,3000,3,15.2,16.7,5.6
WR,A.J. Green,4,ARI,LAR,13,5600,4500,4.5,15.2,17.7,3.9
WR,Russell Gage,12,ATL,JAX,19,5700,5100,5.1,15.2,18.2,3.6
WR,Cooper Kupp,12,LAR,GB,9,9500,9600,9.6,15.1,18.6,1.9
WR,Joshua Palmer,14,LAC,NYG,18,4700,3000,3,15.1,17.6,5.9
WR,Antonio Brown,16,TB,CAR,6,7000,4900,4.9,15.1,23.1,4.7
WR,Odell Beckham Jr.,19,LAR,ARI,29,6200,5100,5.1,15,17,3.3
